Manufacturer,Model,Engine size,Fuel type,Price
Ford,Fiesta,1.0,Petrol,3074
Porsche,718 Cayman,4.0,Petrol,49704
Ford,Mondeo,1.6,Diesel,24072
Toyota,RAV4,1.8,Hybrid,1705
VW,Polo,1.0,Petrol,4101
Ford,Focus,1.4,Petrol,29204
Ford,Mondeo,1.8,Diesel,14350
Toyota,Prius,1.4,Hybrid,30297
VW,Polo,1.2,Petrol,9977
Ford,Focus,2.0,Diesel,1049
VW,Golf,2.0,Diesel,17173
BMW,Z4,2.0,Petrol,719
VW,Golf,1.2,Diesel,7792
Toyota,RAV4,2.2,Petrol,16026
Toyota,Yaris,1.4,Petrol,4046
VW,Golf,1.6,Diesel,933
Toyota,RAV4,2.4,Hybrid,11667
Toyota,Yaris,1.2,Petrol,720
Toyota,RAV4,2.0,Hybrid,52671
VW,Polo,1.2,Petrol,2118
VW,Golf,1.2,Hybrid,1890
Ford,Mondeo,1.6,Diesel,5667
Toyota,Prius,1.0,Hybrid,6512
Toyota,Prius,1.0,Hybrid,961
Porsche,911,2.6,Petrol,41963
Toyota,Prius,1.8,Hybrid,38961
Porsche,911,3.5,Petrol,19747
Toyota,Yaris,1.2,Petrol,2548
VW,Golf,2.0,Petrol,36387
Toyota,RAV4,1.8,Hybrid,13553
Ford,Focus,1.0,Hybrid,12472
Ford,Fiesta,1.0,Petrol,2503
VW,Polo,2.0,Diesel,8784
VW,Polo,1.6,Petrol,17257
Ford,Fiesta,1.4,Petrol,6936
VW,Passat,2.0,Diesel,1964
VW,Passat,1.8,Diesel,1340
BMW,Z4,2.2,Petrol,8511
VW,Polo,1.6,Petrol,5848
BMW,Z4,2.0,Petrol,2637
Ford,Focus,2.0,Petrol,5181
BMW,M5,4.0,Petrol,97758
VW,Polo,1.4,Petrol,522
VW,Passat,1.4,Diesel,1439
BMW,Z4,2.0,Petrol,7873
VW,Passat,1.8,Diesel,9633
VW,Passat,1.6,Petrol,10001
Toyota,Yaris,1.0,Petrol,9689
Ford,Fiesta,1.4,Petrol,14721
Toyota,Yaris,1.4,Petrol,12928
Ford,Fiesta,1.0,Diesel,16257
Toyota,RAV4,2.4,Petrol,49125
VW,Polo,1.0,Diesel,1480
Ford,Fiesta,1.0,Petrol,873
VW,Passat,1.6,Diesel,4008
VW,Polo,1.0,Petrol,1482
VW,Golf,1.2,Petrol,3713
Porsche,Cayenne,2.6,Diesel,54037
BMW,Z4,2.2,Petrol,8373
Ford,Fiesta,1.2,Petrol,9813
Toyota,Yaris,1.0,Petrol,8851
VW,Polo,1.4,Diesel,11881
VW,Polo,1.6,Petrol,3840
Ford,Focus,1.8,Petrol,863
VW,Golf,2.0,Hybrid,36957
Ford,Fiesta,1.2,Petrol,2543
Toyota,Prius,1.4,Hybrid,29946
Toyota,Yaris,1.0,Petrol,5306
Toyota,Prius,1.4,Hybrid,30085
VW,Passat,1.6,Diesel,1052
Ford,Focus,2.0,Petrol,854
VW,Passat,1.6,Diesel,2371
Ford,Fiesta,1.0,Petrol,7616
Ford,Mondeo,1.8,Diesel,6058
Toyota,Yaris,1.0,Hybrid,4937
Ford,Mondeo,1.4,Diesel,4771
Porsche,718 Cayman,2.0,Petrol,3074
VW,Passat,1.6,Petrol,23641
VW,Passat,1.6,Diesel,2274
Ford,Focus,1.4,Petrol,1105
Toyota,RAV4,1.8,Hybrid,5396
Porsche,718 Cayman,2.4,Petrol,69526
BMW,Z4,2.4,Petrol,1799
Ford,Fiesta,1.2,Petrol,1330
VW,Golf,2.0,Petrol,2543
Toyota,Prius,1.0,Hybrid,478
VW,Passat,1.8,Diesel,2526
Toyota,Yaris,1.2,Petrol,947
Ford,Focus,1.8,Petrol,40336
Ford,Mondeo,1.6,Diesel,28435
Ford,Focus,1.0,Petrol,633
Ford,Mondeo,1.6,Diesel,10008
BMW,Z4,2.4,Petrol,6532
Ford,Fiesta,1.2,Petrol,1901
Toyota,Yaris,1.0,Petrol,9591
VW,Passat,1.4,Diesel,15563
Ford,Focus,2.0,Petrol,4086
Ford,Mondeo,1.6,Hybrid,7247
VW,Passat,1.6,Diesel,36634
BMW,M5,4.4,Petrol,2956
Ford,Focus,1.4,Petrol,763
BMW,M5,4.4,Petrol,31711
Ford,Fiesta,1.0,Petrol,7859
Ford,Focus,1.8,Diesel,585
Toyota,Prius,1.8,Hybrid,5238
Ford,Fiesta,1.2,Petrol,6318
VW,Passat,1.6,Diesel,1229
VW,Passat,1.4,Diesel,39310
BMW,Z4,2.2,Petrol,40706
Toyota,RAV4,2.4,Petrol,66031
VW,Polo,1.6,Petrol,7878
Ford,Mondeo,1.6,Diesel,4132
Ford,Focus,1.6,Petrol,18269
VW,Passat,1.6,Diesel,16414
BMW,Z4,2.2,Petrol,26084
Toyota,RAV4,2.4,Petrol,40646
Porsche,911,3.5,Petrol,24378
VW,Golf,1.8,Diesel,23034
VW,Passat,1.6,Diesel,24207
BMW,Z4,2.4,Petrol,4671
Toyota,Prius,1.4,Hybrid,5040
BMW,M5,4.0,Petrol,19474
Toyota,RAV4,1.8,Hybrid,11398
VW,Golf,1.2,Diesel,8066
Ford,Focus,2.0,Petrol,14567
Toyota,Yaris,1.2,Hybrid,5959
VW,Golf,2.0,Diesel,22743
BMW,Z4,3.0,Petrol,26708
VW,Polo,1.0,Petrol,3036
Toyota,Yaris,1.0,Petrol,5438
VW,Passat,1.8,Petrol,12800
VW,Passat,1.6,Diesel,23677
Ford,Focus,1.6,Diesel,3704
Toyota,RAV4,1.8,Hybrid,3981
VW,Golf,1.6,Petrol,3988
Porsche,718 Cayman,2.4,Petrol,1183
BMW,X3,3.0,Petrol,53379
Toyota,Yaris,1.2,Petrol,1145
BMW,M5,4.4,Petrol,9255
Ford,Focus,1.8,Petrol,6094
VW,Passat,1.6,Diesel,9345
Toyota,RAV4,1.8,Hybrid,19491
Toyota,Prius,1.8,Hybrid,16500
VW,Passat,2.0,Petrol,25482
Toyota,Prius,1.0,Hybrid,19023
BMW,X3,2.0,Diesel,44018
VW,Polo,2.0,Petrol,2778
VW,Passat,1.4,Diesel,9705
VW,Polo,1.4,Petrol,489
Porsche,Cayenne,2.6,Diesel,15069
Ford,Focus,1.4,Petrol,8039
Ford,Mondeo,1.6,Petrol,26053
VW,Passat,2.0,Petrol,2822
Porsche,718 Cayman,4.0,Petrol,70913
BMW,Z4,2.0,Petrol,14728
Ford,Focus,2.0,Petrol,2025
Ford,Mondeo,1.8,Diesel,7267
BMW,X3,3.0,Petrol,27342
Toyota,RAV4,2.0,Petrol,19881
VW,Polo,1.4,Petrol,11916
Ford,Fiesta,1.4,Petrol,22982
VW,Golf,1.2,Diesel,8174
BMW,Z4,2.0,Petrol,1246
Porsche,Cayenne,2.6,Petrol,10667
Ford,Mondeo,1.8,Diesel,9481
Ford,Fiesta,1.4,Petrol,14854
VW,Polo,2.0,Petrol,23636
Toyota,RAV4,1.8,Hybrid,68163
VW,Polo,2.0,Petrol,1771
Toyota,Yaris,1.0,Petrol,8721
Ford,Mondeo,2.0,Diesel,28482
VW,Polo,1.0,Petrol,1062
Ford,Fiesta,1.0,Petrol,6768
Toyota,RAV4,2.2,Hybrid,24685
VW,Passat,2.0,Diesel,3416
Ford,Focus,2.0,Diesel,20153
Toyota,Prius,1.0,Hybrid,8671
Ford,Mondeo,1.6,Diesel,18224
VW,Passat,1.6,Diesel,4129
Toyota,RAV4,2.4,Hybrid,25232
Porsche,Cayenne,2.6,Diesel,76182
VW,Polo,1.2,Diesel,19649
Toyota,Yaris,1.2,Petrol,2914
Porsche,718 Cayman,2.0,Petrol,3542
Toyota,Prius,1.0,Hybrid,5001
Ford,Mondeo,1.8,Diesel,30886
Ford,Focus,1.0,Diesel,6429
Ford,Mondeo,1.6,Diesel,1614
Toyota,Prius,1.4,Hybrid,19139
Ford,Focus,2.0,Diesel,5272
BMW,Z4,2.4,Petrol,4558
BMW,M5,4.4,Petrol,20664
Ford,Mondeo,1.4,Diesel,37720
VW,Golf,1.4,Diesel,16365
VW,Golf,1.4,Diesel,4049
VW,Polo,1.2,Petrol,3670
VW,Golf,2.0,Petrol,1528
Toyota,Yaris,1.0,Hybrid,19025
Ford,Focus,2.0,Diesel,2930
Ford,Mondeo,1.6,Diesel,17370
Ford,Mondeo,1.8,Diesel,14195
VW,Golf,1.6,Petrol,3304
VW,Golf,1.6,Petrol,19835
Toyota,Yaris,1.2,Petrol,4947
Toyota,Yaris,1.0,Petrol,1517
VW,Passat,1.8,Diesel,12073
Ford,Fiesta,1.2,Petrol,7142
Toyota,Yaris,1.4,Petrol,8043
Toyota,RAV4,2.0,Hybrid,8299
Toyota,RAV4,2.2,Hybrid,33453
VW,Passat,1.6,Diesel,2584
BMW,X3,3.0,Diesel,3510
VW,Passat,1.4,Diesel,18256
Toyota,Prius,1.8,Hybrid,33820
VW,Passat,1.6,Petrol,19428
Porsche,Cayenne,2.6,Diesel,50028
Ford,Fiesta,1.0,Petrol,1916
Ford,Fiesta,1.2,Petrol,2933
Toyota,Yaris,1.0,Hybrid,36086
Toyota,Yaris,1.4,Hybrid,3468
VW,Polo,1.4,Petrol,23449
