Manufacturer,Model,Engine size,Fuel type,Price,is_Premium_Brand,Premium_Fuel_Type
Ford,Fiesta,1.0,Petrol,3074,0,0
Porsche,718 Cayman,4.0,Petrol,49704,1,0
Ford,Mondeo,1.6,Diesel,24072,0,0
Toyota,RAV4,1.8,Hybrid,1705,0,1
VW,Polo,1.0,Petrol,4101,0,0
Ford,Focus,1.4,Petrol,29204,0,0
Ford,Mondeo,1.8,Diesel,14350,0,0
Toyota,Prius,1.4,Hybrid,30297,0,1
VW,Polo,1.2,Petrol,9977,0,0
Ford,Focus,2.0,Diesel,1049,0,0
VW,Golf,2.0,Diesel,17173,0,0
BMW,Z4,2.0,Petrol,719,1,0
VW,Golf,1.2,Diesel,7792,0,0
Toyota,RAV4,2.2,Petrol,16026,0,0
Toyota,Yaris,1.4,Petrol,4046,0,0
VW,Golf,1.6,Diesel,933,0,0
Toyota,RAV4,2.4,Hybrid,11667,0,1
Toyota,Yaris,1.2,Petrol,720,0,0
Toyota,RAV4,2.0,Hybrid,52671,0,1
VW,Polo,1.2,Petrol,2118,0,0
VW,Golf,1.2,Hybrid,1890,0,1
Ford,Mondeo,1.6,Diesel,5667,0,0
Toyota,Prius,1.0,Hybrid,6512,0,1
Toyota,Prius,1.0,Hybrid,961,0,1
Porsche,911,2.6,Petrol,41963,1,0
Toyota,Prius,1.8,Hybrid,38961,0,1
Porsche,911,3.5,Petrol,19747,1,0
Toyota,Yaris,1.2,Petrol,2548,0,0
VW,Golf,2.0,Petrol,36387,0,0
Toyota,RAV4,1.8,Hybrid,13553,0,1
Ford,Focus,1.0,Hybrid,12472,0,1
Ford,Fiesta,1.0,Petrol,2503,0,0
VW,Polo,2.0,Diesel,8784,0,0
VW,Polo,1.6,Petrol,17257,0,0
Ford,Fiesta,1.4,Petrol,6936,0,0
VW,Passat,2.0,Diesel,1964,0,0
VW,Passat,1.8,Diesel,1340,0,0
BMW,Z4,2.2,Petrol,8511,1,0
VW,Polo,1.6,Petrol,5848,0,0
BMW,Z4,2.0,Petrol,2637,1,0
Ford,Focus,2.0,Petrol,5181,0,0
BMW,M5,4.0,Petrol,97758,1,0
VW,Polo,1.4,Petrol,522,0,0
VW,Passat,1.4,Diesel,1439,0,0
BMW,Z4,2.0,Petrol,7873,1,0
VW,Passat,1.8,Diesel,9633,0,0
VW,Passat,1.6,Petrol,10001,0,0
Toyota,Yaris,1.0,Petrol,9689,0,0
Ford,Fiesta,1.4,Petrol,14721,0,0
Toyota,Yaris,1.4,Petrol,12928,0,0
Ford,Fiesta,1.0,Diesel,16257,0,0
Toyota,RAV4,2.4,Petrol,49125,0,0
VW,Polo,1.0,Diesel,1480,0,0
Ford,Fiesta,1.0,Petrol,873,0,0
VW,Passat,1.6,Diesel,4008,0,0
VW,Polo,1.0,Petrol,1482,0,0
VW,Golf,1.2,Petrol,3713,0,0
Porsche,Cayenne,2.6,Diesel,54037,1,0
BMW,Z4,2.2,Petrol,8373,1,0
Ford,Fiesta,1.2,Petrol,9813,0,0
Toyota,Yaris,1.0,Petrol,8851,0,0
VW,Polo,1.4,Diesel,11881,0,0
VW,Polo,1.6,Petrol,3840,0,0
Ford,Focus,1.8,Petrol,863,0,0
VW,Golf,2.0,Hybrid,36957,0,1
Ford,Fiesta,1.2,Petrol,2543,0,0
Toyota,Prius,1.4,Hybrid,29946,0,1
Toyota,Yaris,1.0,Petrol,5306,0,0
Toyota,Prius,1.4,Hybrid,30085,0,1
VW,Passat,1.6,Diesel,1052,0,0
Ford,Focus,2.0,Petrol,854,0,0
VW,Passat,1.6,Diesel,2371,0,0
Ford,Fiesta,1.0,Petrol,7616,0,0
Ford,Mondeo,1.8,Diesel,6058,0,0
Toyota,Yaris,1.0,Hybrid,4937,0,1
Ford,Mondeo,1.4,Diesel,4771,0,0
Porsche,718 Cayman,2.0,Petrol,3074,1,0
VW,Passat,1.6,Petrol,23641,0,0
VW,Passat,1.6,Diesel,2274,0,0
Ford,Focus,1.4,Petrol,1105,0,0
Toyota,RAV4,1.8,Hybrid,5396,0,1
Porsche,718 Cayman,2.4,Petrol,69526,1,0
BMW,Z4,2.4,Petrol,1799,1,0
Ford,Fiesta,1.2,Petrol,1330,0,0
VW,Golf,2.0,Petrol,2543,0,0
Toyota,Prius,1.0,Hybrid,478,0,1
